Title,Description,HTML,Download,Service
Bedrock Valleys,"Continuous lines representing the lowermost elevations/ locations of (buried) bedrock valleys in the state of Illinois. Names of buried valleys are annotated. Attributes include bedrock valley names. ISGS, 1994.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Bedrock_Valleys_Ln.html,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Bedrock_Valleys_Ln.zip"" title=""IL_Bedrock_Valleys_Ln.zip"" type=""application/zip; length=157302"">IL Bedrock Valleys.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Valleys/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Valleys/MapServer</a></div></div></div></div>"
Driftless Areas,"Driftless areas in Illinois. These areas are analogous to areas of the state where the bedrock surface is not buried by glacial drift. Data originally from the Buried Bedrock Surface map by Herzog et al. (1994). There are no user defined attribute items. ISGS, 1994 (revised 1998).",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Driftless_Areas_Py.html,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Driftless_Areas_Py.zip"" title=""IL_Driftless_Areas_Py.zip"" type=""application/zip; length=71413"">IL Driftless Areas.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/Driftless_Areas/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/Driftless_Areas/MapServer</a></div></div></div></div>"
Elevation of the Base of the Barlow Limestone,"This datafile shows the general elevation of the base of the Barlow Limestone in Illinois.  These 20- and/or 100-foot isolines were contoured using Geographix and Z-map Plus software.  The contours were created using over 50,000 data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  The data was contoured using fault lines for control and manual adjustments were made to the contours as a final refinement of the computer created contours.  This data set is intended for use at a scale of 1:100,000 or greater.
This data set was created as part of an effort to update some of the ISGS map products utilizing new data and software capabilities.  This data set was developed in order to create an updated version of the map published by H.M. Bristol in 1968.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.",none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip"" type=""application/zip; length=4683903"">IL_Structure_BaseBarlow_Elev_20ft_2009_Ln.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
Elevation of the Karnak Limestone,"This datafile shows the general elevation of the top of the Karnak Limestone in Illinois.  These 20- and/or 100-foot isolines were contoured using Geographix and Z-map Plus software.  The contours were created using over 32,000 data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  The data was contoured using fault lines for control and manual adjustments were made to the contours as a final refinement of the computer created contours.  This data set is intended for use at a scale of 1:100,000 or greater.
This data set was created as part of an effort to update some of the ISGS map products utilizing new data and software capabilities.  This data set was developed in order to create an updated version of the map published by H.M. Bristol and R.H. Howard in 1976.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.",none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Structure_Karnak_Elev_20ft_2009_Ln.zip"" type=""application/zip; length=3693632"">IL_Structure_Karnak_Elev_20ft_2009_Ln.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
Elevation of the New Albany Shale,"This datafile shows the general elevation of the top of the New Albany Shale.  These 20- and/or 100-foot isolines were contoured using Esri ArcGIS software.  The contours were created using over data points from the ISGS Oracle database.  The data covers only those portions of the state where the formation is present and does not include any coverage outside of Illinois where the formation may be present.  This data set is intended for use at a scale of 1:100,000 or greater.  These data are appropriate for use in local and regional thematic analysis.  The data are not appropriate as a geodetic, legal or engineering base.",none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Structure_NewAlbany_Elev_20ft_Ln.zip"" type=""application/zip; length=3880641"">IL_Structure_NewAlbany_Elev_20ft_Ln.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Structure_Contours/MapServer</a></div></div></div></div>"
"Geologic and Geophysical maps of the Ozark, Illinois, Indiana, and Kentucky (OIINK) Region","The 12 geologic and geophysical maps in this set span the four-state region of Missouri, Illinois, Indiana, and Kentucky. We have used existing local work to compile regional maps that provide a broader context for research on the tectonics of the Midcontinent (OIINK web site: http://www.indiana.edu/~oiink/).  This map series was originally conceived as a means to provide visual context for discussions associated with an NSF EarthScope Workshop on Tectonic Targets for EarthScope in the Midcontinent (S. Marshak, lead convener) that was held on April 11-13, 2010 in Urbana, Illinois. The maps are available from the Illinois State Geological Survey.  These Esri layer packages (ArcGIS v. 10.x) are being provided as-is and represent the GIS data as downloaded or digitized from the various source materials.",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/earthscope_data_sources_readme.pdf,"<div class=""fieldset-wrapper""><div class=""field field-name-field-download-description field-type-text-with-summary field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><p class=""MsoNormal""><strong>Note:</strong> To use Esri layer packages, drag and drop the layer package from ArcCatalog into ArcMap. The source data will unzip and save to the default workspace folder, usually “C:\Users\[username]\Documents\ArcGIS\Packages”.</p>
</div></div></div><section class=""field field-name-field-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map1_surface_topo.lpk"" title=""earthscope_map1_surface_topo.lpk"" type=""application/octet-stream; length=84917701"">Map 1—Land-Surface Topography</a></span></div><div class=""field-item odd""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map2_bedrock_topo.lpk"" title=""earthscope_map2_bedrock_topo.lpk"" type=""application/octet-stream; length=189271132"">Map 2—Bedrock Topography</a></span></div><div class=""field-item even""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map3_surfgeo.lpk"" title=""earthscope_map3_surfgeo.lpk"" type=""application/octet-stream; length=3425169"">Map 3—Surficial Geology with Shaded Relief</a></span></div><div class=""field-item odd""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map4_bedgeo.lpk"" title=""earthscope_map4_bedgeo.lpk"" type=""application/octet-stream; length=11811552"">Map 4—Bedrock Geology with Bedrock Topography</a></span></div><div class=""field-item even""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map5_springfield.lpk"" title=""earthscope_map5_springfield.lpk"" type=""application/octet-stream; length=1940893"">Map 5—Structure-Contour Map of the Pennsylvanian Springfield Coal </a></span></div><div class=""field-item odd""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map6_new%20albany.lpk"" title=""earthscope_map6_new albany.lpk"" type=""application/octet-stream; length=3652704"">Map 6—Structure-Contour Map of the Mississippian-Devonian New Albany Shale Group </a></span></div><div class=""field-item even""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map7_trenton.lpk"" title=""earthscope_map7_trenton.lpk"" type=""application/octet-stream; length=3847565"">Map 7—Structure-Contour Map of the Ordovician Trenton Group</a></span></div><div class=""field-item odd""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map8_precambrian.lpk"" title=""earthscope_map8_precambrian.lpk"" type=""application/octet-stream; length=5961573"">Map 8—Structure-Contour Map of the Top of the Precambrian</a></span></div><div class=""field-item even""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map9_isostatic.lpk"" title=""earthscope_map9_isostatic.lpk"" type=""application/octet-stream; length=1552669"">Map 9—Isostatic Gravity Anomaly</a></span></div><div class=""field-item odd""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map10_magnetic.lpk"" title=""earthscope_map10_magnetic.lpk"" type=""application/octet-stream; length=2785958"">Map 10—Magnetic Anomaly</a></span></div><div class=""field-item even""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map11_faults_folds.lpk"" title=""earthscope_map11_faults_folds.lpk"" type=""application/octet-stream; length=35187497"">Map 11—Fault and Fold Traces</a></span></div><div class=""field-item odd""><span class=""file""><img alt=""Binary Data"" class=""file-icon"" src=""/modules/file/icons/application-octet-stream.png"" title=""application/octet-stream""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/data/earthscope_map12_earthquakes.lpk"" title=""earthscope_map12_earthquakes.lpk"" type=""application/octet-stream; length=81411"">Map 12—Earthquake Epicenters</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography_DEM/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography_DEM/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography_Hill/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography_Hill/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_BedrockTopography/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_EarthquakeEpicenters/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_EarthquakeEpicenters/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_FaultAndFoldTraces/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_FaultAndFoldTraces/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_IsostaticGravityAnomaly/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_IsostaticGravityAnomaly/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurface_DEM/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurface_DEM/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurface_Hill/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurface_Hill/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurfaceTopography/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_LandSurfaceTopography/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_MagneticAnomaly/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_MagneticAnomaly/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_NewAlbanyShaleAndCorrelatives/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_NewAlbanyShaleAndCorrelatives/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_Precambrian/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_Precambrian/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_ReferenceLayers/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_ReferenceLayers/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_SpringfieldAndBevierCoals/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_SpringfieldAndBevierCoals/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_SurficialGeology/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_SurficialGeology/MapServer</a></div><div class=""field-item odd""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_TrentonLimestone/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK_TrentonLimestone/MapServer</a></div><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/OIINK/MapServer</a></div></div></div></div>"
Glacial Boundaries,"Glacial boundary lines representing the extent of glaciation for major glacial episodes in Illinois. Data originally from Quaternary Deposits in Illinois map by Lineback (1979) and modified according to the reclassification by Hansel and Johnson, ISGS Bulletin 104 (1996). Attribute items include glacial episode identifier. ISGS, 1984 (revised 1998).",/sites/clearinghouse.isgs/files/Clearinghouse/data/metadata/ISGS/IL_Glacial_Bndys_Py.html,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Glacial_Bndys_Py.zip"" title=""IL_Glacial_Bndys_Py.zip"" type=""application/zip; length=296508"">IL Glacial Boundaries.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""http://data.isgs.illinois.edu/arcgis/rest/services/Geology/Glacial_Boundaries/MapServer"" target=""_blank"">http://data.isgs.illinois.edu/arcgis/rest/services/Geology/Glacial_Boundaries/MapServer</a></div></div></div></div>"
Glacial Drift Thickness and Character,"Unconsolidated deposits, mainly glacial drift, overlie the bedrock surface in most of Illinois. Data are originally from ISGS Circular 490 by Piskin and Bergstrom (1975), Plate 1. Contour lines are coded with thickness, and polygons (areas between contours) are coded with range of thickness. ISGS, 1994 (revised 1998).",/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS/IL_Drift_Thickness.html,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Drift_Thickness.zip"" title=""IL_Drift_Thickness.zip"" type=""application/zip; length=5528405"">IL Drift Thickness.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://data.isgs.illinois.edu/arcgis/rest/services/Geology/Drift_Thickness/MapServer"" target=""_blank"">https://data.isgs.illinois.edu/arcgis/rest/services/Geology/Drift_Thickness/MapServer</a></div></div></div></div>"
Illinois Borehole Temperatures,"This layer contains data describing borehole temperatures in the state of Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the borehole, temperature at some depth within the well, measurement procedure, location uncertainty and remarks. Citations are included in the dataset. The HeaderURI for a particular borehole is the cross-referencing link (foreign key) used to associate the borehole with web based information on the well construction, pictures or other information, specific to one feature. The data is displayed using a temperature gradient color scheme ramping from green (cool) to red (hot). Layer files containing the symbology for these data layers can be found in the USGIN repository at http://repository.usgin.org/uri_gin/usgin/dlio/206. The original data and metadata can be viewed or downloaded from the USGIN Repository at State Geothermal Data Repository or from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-borehole-temperatures.",none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Drift_Thickness.zip"" title=""IL_Drift_Thickness.zip"" type=""application/zip; length=5528405"">IL Drift Thickness.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""http://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILBoreholeTemperatures/MapServer"" target=""_blank"">http://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILBoreholeTemperatures/MapServer</a></div></div></div></div>"
Illinois Drill Stem Tests,"This layer contains data related to drill stem tests for wells in Illinois, obtained by the AASG for the Geothermal Data Project. The data table includes general information on the location of the well, location uncertainty and test results and formation at depth. Information sources are included in the dataset. The HeaderURI for a particular well is the cross-referencing link (foreign key) used to associate the feature with web based information on the feature including pictures or other information. The data is displayed using a black circle with a lime green cross. The original data and metadata can be viewed or downloaded from the National Geothermal Data System website at http://search.geothermaldata.org/dataset/illinois-drill-stem-tests.",none,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Drift_Thickness.zip"" title=""IL_Drift_Thickness.zip"" type=""application/zip; length=5528405"">IL Drift Thickness.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""http://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILDrillStemTests/MapServer"" target=""_blank"">http://geothermal.isgs.illinois.edu/arcgis/rest/services/aasggeothermal/ILDrillStemTests/MapServer</a></div></div></div></div>"
Illinois Waterflood Units 1946-2002,"The Illinois State Geological Survey (ISGS) has collected data regarding injected and produced fluids of oil payzones for over 2000 waterflood projects in Illinois. These data are not collected by any other organization and are available only at the ISGS. These data were compiled to create a comprehensive data layer that delineates boundaries of all known waterflood projects currently operating and that have operated in the past in Illinois. Outlines of individual waterflood projects were compiled from historic hand-drawn maps (1:31680) by ISGS geologists or maps (scales vary) submitted by operators. These maps were scanned and georeferenced. Waterflood projects were then digitized. Information about each waterflood project is contained in a waterflood database completed in conjunction with this data layer. Some information from the waterflood database is related as attributes. As waterflood boundaries may change over time, only a portion of a waterflood throughout its history may be digitally represented. This data layer was created as part of a U. S. Department of Energy (DOE) Preferred Upstream Maintenance Pressure (PUMP) II initiative (DEFC26-02NT15132).
The data layer delineates boundaries of all known waterflood projects in Illinois in a digitial format. Waterflood information can then be used to distinguish areas that have been waterflooded from those that may not have been waterflooded. Areas not waterflooded or under-flooded can then be identified as underdeveloped areas (UDA's) which may have a high potential for economically feasible secondary oil recovery. Also, historic data is commonly used as analogs to evaluate potential of new floods. The data used in these analyses is contained in these files.",https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/clearinghouse/data/metadata/ISGS//IL_Historical_Waterflood_Areas_Py.shp_.html,"<div class=""fieldset-wrapper""><section class=""field field-name-field-zip-data field-type-file field-label-above view-mode-full""><h2 class=""field-label"">Zip Data: </h2><div class=""field-items""><div class=""field-item even""><span class=""file""><img alt=""Package icon"" class=""file-icon"" src=""/modules/file/icons/package-x-generic.png"" title=""application/zip""/> <a href=""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Historical_Waterflood_Areas_Py.zip"" type=""application/zip; length=356390"">IL_Historical_Waterflood_Areas_Py.zip</a></span></div></div></section></div>","<div class=""fieldset-wrapper""><div class=""field field-name-field-data-viewer-link field-type-link-field field-label-hidden view-mode-full""><div class=""field-items""><div class=""field-item even""><a class=""viewer"" href=""https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Waterflood_Areas/MapServer"" target=""_blank"">https://maps.isgs.illinois.edu/arcgis/rest/services/ILOIL/Waterflood_Areas/MapServer</a></div></div></div></div>"
