245,034$d,034$e,034$f,034$g,650,651,520$a
"10$aUSGS High Resolution Orthoimagery for Pittsburgh, Pennsylvania.","-80.1225548556907","-80.1047113967088","40.3772564067433","40.3636087827669","\0$adigital spatial data.|\0$a0.3 meter orthoimage.|\0$arectified image.|\0$aorthophoto.|\0$anatural color orthophoto.|\0$aorthoimage.|\0$aimage map.|\0$aimageryBaseMapsEarthCover.|\0$a010.|\0$aNational Standards for Spatial Digital Accuracy (NSSDA)","\7$aUnited States.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aU.S.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aUS.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPA.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aAllegheny County.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPittsburgh.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPennsylvania.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology","NGA_USGS_Pittsburgh2012."
"10$aUSGS High Resolution Orthoimagery for Pittsburgh, Pennsylvania - TILE INDEX.","-80.1225548556907","-80.1047113967088","40.3772564067433","40.3636087827669","\0$adigital spatial data.|\0$a0.3 meter orthoimage.|\0$arectified image.|\0$aorthophoto.|\0$anatural color orthophoto.|\0$aorthoimage.|\0$aimage map.|\0$aimageryBaseMapsEarthCover.|\0$a010.|\0$aNational Standards for Spatial Digital Accuracy (NSSDA)","\7$aUnited States.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aU.S.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aUS.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPA.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aAllegheny County.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPittsburgh.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPennsylvania.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology","NGA_USGS_Pittsburgh2012_TileIndex."
"10$aUSGS High Resolution Orthoimagery for Scranton - Wilkes Barre, Pennsylvania.","-75.7227707588481","-75.7047066623471","41.310806106399","41.2971844194145","\0$adigital spatial data.|\0$a0.3 meter orthoimage.|\0$arectified image.|\0$aorthophoto.|\0$anatural color orthophoto.|\0$aorthoimage.|\0$aimage map.|\0$aimageryBaseMapsEarthCover.|\0$a010.|\0$aNational Standards for Spatial Digital Accuracy (NSSDA)","\7$aUnited States.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aU.S.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aUS.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPA.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aLuzerne County.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPennsylvania.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology","NGA_USGS_ScrantonWilkesBarre2012."
"10$aUSGS High Resolution Orthoimagery for Scranton - Wilkes Barre, Pennsylvania - TILE INDEX.","-75.7227707588481","-75.7047066623471","41.310806106399","41.2971844194145","\0$adigital spatial data.|\0$a0.3 meter orthoimage.|\0$arectified image.|\0$aorthophoto.|\0$anatural color orthophoto.|\0$aorthoimage.|\0$aimage map.|\0$aimageryBaseMapsEarthCover.|\0$a010.|\0$aNational Standards for Spatial Digital Accuracy (NSSDA)","\7$aUnited States.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aU.S.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aUS.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPA.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aLuzerne County.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology|\7$aPennsylvania.$2U.S. Department of Commerce, 1995, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions, Federal Information Processing Standard 10-4,): Washington, D.C., National Institute of Standards and Technology","NGA_USGS_ScrantonWilkesBarre2012_TileIndex."
"10$aNHDFlowline - Delaware.","-73.99","-76.47","42.53","38.65","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$adelaware.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0204Delaware_flowline."
"10$aNHDWaterbody - Delaware.","-73.99","-76.47","42.53","38.65","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$adelaware.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0204Delaware_waterbody."
"10$aNHDFlowline - Susquehanna.","-79.02","-74.47","43.05","39.68","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$asusquehanna.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0205Susquehanna_flowline."
"10$aNHDWaterbody - Susquehanna.","-79.02","-74.47","43.05","39.68","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$asusquehanna.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0205Susquehanna_waterbody."
"10$aNHDFlowline - Upper Chesapeake.","-75.03","-77.23","39.91","37.81","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$achesapeake.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0206_UprChesapeake_flowline."
"10$aNHDWaterbody - Upper Chesapeake.","-75.03","-77.23","39.91","37.81","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$achesapeake.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0206_UprChesapeake_waterbody."
"10$aNHDFlowline - Potomac.","-79.75","-76.14","40.28","37.78","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$aPotomac.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0207_Potomac_flowline."
"10$aNHDWaterbody - Potomac.","-79.75","-76.14","40.28","37.78","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$aPotomac.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0207_Potomac_waterbody."
"10$aNHDFlowline - Erie.","-80.83","-78.08","43.35","41.63","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$aErie.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0412Erie_flowline."
"10$aNHDWaterbody - Erie.","-80.83","-78.08","43.35","41.63","\7$aFWHYDROGRAPHY.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aHydrography.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aStream / River.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aLake / Pond.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aCanal / Ditch.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReservoir.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSpring / Seep.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aSwamp / Marsh.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aArtificial Path.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$aReach Code.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)|\7$ainlandWaters.$2U.S. Department of the Interior, U.S. Geological Survey, 1999, Standards for National Hydrography Dataset (http://mapping.usgs.gov/standards/)","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.|\7$aErie.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","NHDH0412Erie_waterbody."
