Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,Map Server,Feature Server,Image Server,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accural Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Nova Map,"This web map provides a detailed vector tile basemap for the world featuring a dark background with glowing blue symbology inspired by theArcGIS.com splash screen.The Nova map emulates this color scheme, with a grid pattern across the ocean and stripes or square stippled patterns for land use features visible at larger scales. The colors are reminiscent of science-fiction shows, where one is looking at a map of the world on a 'head's up' device or a map that would be projected from a transparent glass wall. Additional graphics in the oceans presents a futuristic user interface. The futuristic and less terrestrial feel theme continues with the geometric patterns, starburst city dot symbols, and cool color scheme. The fonts displayed are clean and squarish (san serif) with a futuristic, science-fiction, or high technology appearance.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,vector|basemap|esri_basemap|creative|Cindy Prostak,2017-09-27T14:11:51.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-159.8145,-45.3279,99.8145,67.0037",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/8d91bd39e873417ea21673e0fee87604,,,,,8d91bd39e873417ea21673e0fee87604,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Charted Territory Map,"This web map provides a customized world basemap uniquely symbolized. It takes its inspiration from a printed atlas plate and pull-down scholastic classroom maps. The map emphasizes the geographic and political features in the design. This vector tile layer is built using the same data sources used for theWorld Topographic Mapand other Esri basemaps. The use of country level polygons are preassigned with eight different colors. It also includes the global graticule features as well as landform labels of physical features. This map is designed for use with and includes the shaded relief layer. Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.Fonts used in this map are under theOFL, Open Font License.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,esri_basemap|creative|Cindy Prostak|general availability|wma|v2|basemaps|vector|basemap,2018-05-25T22:59:57.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-80.3275,180,80.3275",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/d582a9e953c44c09bb998c7d9b66f8d4,,,,,d582a9e953c44c09bb998c7d9b66f8d4,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,National Geographic Style Map,"This vector web map is built using the same data sources used for otherEsri vector tile layers and webmaps. This reference map includes administrative boundaries, cities, protected areas, highways, roads, railways, water features, buildings, and landmarks, overlaid on shaded relief and a colorized physical ecosystems base for added context to conservation and biodiversity topics. Alignment of boundaries is a presentation of the feature provided by our data vendors and does not imply endorsement by Esri, National Geographic or any governing authority.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to these articles on theArcGIS Online Blog.The map was developed by Esri and reflects a distinctive National Geographic Society cartographic style in a multi-scale reference map of the world. NGS provided guidance and design feedback throughout the process. Special thanks to the National Geographic Cartography Team for their support and guidance!Content does not reflect National Geographic's current map policy.",English,Esri,"Crawford County, Pennsylvania",,,v2|global|basemaps|vector|basemap|esri_basemap|esri_vector|World_Basemap_v2|geopolitical|National Geographic Style|wma|general availability,2018-05-04T22:54:17.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-149.9414,-34.1165,109.6875,73.0386",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/f33a34de3a294590ab48f246e99958c9,,,,,f33a34de3a294590ab48f246e99958c9,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Human Geography Dark Map,"This web map provides a detailed vector basemap with a dark monochromatic style and content adjusted to support Human Geography information. The web map consists of 3 vector tile layers:A label reference layer including cities and communities, countries, administrative units, and at larger scales street names.A detail reference layer including administrative boundaries, roads and highways, and larger bodies of water. This layer is designed to be used with a high degree of transparency so that the detail does not compete with your information. It is set at approximately 60% in this web map, but can be adjusted.A simple basemap consisting of land areas in a very dark gray only.For an example of how to best use this basemap, readA Dark Version of the Human Geography Basemapfor more information.These layers provide unique capabilities for customization, high-resolution display, and offline use in mobile devices: They are built using the same data sources used for theDark Gray Canvasand other Esri basemaps. Alignment of boundaries is a presentation of the feature provided by our data vendors and does not imply endorsement by Esri or any governing authority.This map was designed and created by Andrew Skinner.",English,Esri,"Crawford County, Pennsylvania",,,vector|basemap|esri_vector|style|sample|web map|human geography|dark|human geography dark|esri_basemap|Andrew Skinner|creative,2017-05-04T13:09:41.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-161.2793,-35.8526,98.3496,71.4275",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/4f2e99ba65e34bb8af49733d9778fb8e,,,,,4f2e99ba65e34bb8af49733d9778fb8e,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Human Geography Map,"This web map provides a detailed vector basemap with a monochromatic style and content adjusted to support Human Geography information. The web map consists of 3 vector tile layers:A label reference layer including cities and communities, countries, administrative units, and at larger scales street names.A detail reference layer including administrative boundaries, roads and highways, and larger bodies of water. This layer is designed to be used with a high degree of transparency so that the detail does not compete with your information. It is set at approximately 60% in this web map, but can be adjusted.A simple basemap consisting of land areas in a very light gray only.For an example of how to best use this basemap, view thisDemographics and Statistics Atlasapp.The layers in this map provide unique capabilities for customization, high-resolution display, and offline use in mobile devices: They are built using the same data sources used for theLight Gray Canvasand other Esri basemaps. This map was designed and created by Andrew Skinner.",English,Esri,"Crawford County, Pennsylvania",,,vector|basemap|esri_vector|sample|web map|human geography|esri_basemap|Andrew Skinner|style,2017-02-02T08:58:45.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-155.166,-45.5959,104.4629,66.854",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/3582b744bba84668b52a16b0b6942544,,,,,3582b744bba84668b52a16b0b6942544,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Modern Antique Map,"This web map provides a customized vector layer for the world symbolized with a unique antique styled map, with a modern flair -- including the benefit of multi-scale mapping. This web map is built using the same data sources used for theWorld Topographic Mapand other Esri basemaps. The comprehensive map data includes highways, major roads, minor roads, railways, water features, cities, parks, landmarks, building footprints, and administrative boundaries.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.Customize this MapBecause this map contains a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,vector|multidirectional hillshade|esri_basemap|custom|antique|modern|style|unique|basemap|sample|Cindy Prostak,2016-06-26T19:09:10.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-148.9173,-34.7614,110.7116,71.8487",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/f35ef07c9ed24020aadd65c8a65d3754,,,,,f35ef07c9ed24020aadd65c8a65d3754,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Colored Pencil Map,"This web map provides a detailed vector basemap for the world symbolized with the appearance of being hand-drawn by colored pencils. This layer is delivered as a vector tile service that provides unique capabilities for customization, high-resolution display, and offline use in mobile devices. This map is built using the same data sources used for otherEsri vector tile layers and web maps. The map includes highways, major roads, minor roads, railways, water features, cities, parks, landmarks, building footprints, trees, and administrative boundaries.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use theColored Penciltile layer items referenced in this map.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,vector|basemap|sample|esri_basemap|Cindy Prostak|creative,2017-01-05T19:58:47.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-147.1289,-34.7416,112.5,71.8562",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/826498a48bd0424f9c9315214f2165d4,,,,,826498a48bd0424f9c9315214f2165d4,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Firefly Imagery Hybrid,"This map features an alternative view of theWorld Imagery mapdesigned to be used as a neutral imagery basemap, with de-saturated colors, that is useful for overlaying other brightly styled layers. This map is intended to support 'firefly cartography' and other cartographic designs that require a neutral background, with the spatial context and texture of imagery, to contrast with the foreground thematic layers that are designed to capture the users attention. The map also includes a reference layer.Content meant to provide spatial context (the basemap) should recede in visual priority, helping to establish the thematic layers that they support (rather than compete with them). There are many ways to sufficiently mute your basemap, but for satellite imagery, de-saturation is a nice option. An image that is all or mostly black and white won't compete as much with the brightly colored thematic data that it supports. With this map, the color of the imagery is mostly removed at the smallest global scales and then gradually re-introduced at the larger scales, where the full detail of the imagery is available.",English,Esri,"Crawford County, Pennsylvania",,,imagery|firefly|cinematic|esri_basemap|basemap|baseimagery|hybrid,2018-12-07T17:42:08.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-159.6048,-38.5075,175.7859,71.4297",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/9e557abc61ce41c9b8ec8b15800c20d3,,,,,9e557abc61ce41c9b8ec8b15800c20d3,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Navigation (Dark Mode),"This web map provides a detailed vector basemap for the world symbolized with a custom 'dark mode' navigation map style that is designed for use on mobile devices in low-light or night conditions. The web map includes a vector tile layer that is similar in content to the popularWorld Street Map, whichis delivered as a tile layer with raster fused map cache. This map includes a vector tile layer that provides unique capabilities for customization and high-resolution display.This comprehensive street map includes highways, major roads, minor roads, railways, water features, cities, parks, landmarks, building footprints, and administrative boundaries. The vector tile layer in this map is built using the same data sources used for theWorld Street Mapandother Esri basemaps.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries.See theVector Basemap groupfor other vector web maps.For details on how to customize this map, please refer to these articles ontheArcGIS Online Blog.",English,Esri,"Crawford County, Pennsylvania",,,v2|wma|World_Basemap_v2|global|basemaps|vector|basemap|esri_basemap|general availability|navigation|dark|dark mode|esri_vector,2019-05-06T17:34:11.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-150.7946,-37.4693,108.8343,71.7899",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/459cc334740944d38580455a0a777a24,,,,,459cc334740944d38580455a0a777a24,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Topographic,"This topographic map is designed to be used as a basemap and a reference map. The map has been compiled by Esri and the ArcGIS user community from a variety of best available sources. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the World Hillshade and World Topographic Map.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:15.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-70,180,83.45",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/588f0e0acc514c11bc7c898fed9fc651,,,,,588f0e0acc514c11bc7c898fed9fc651,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Streets,"This map features highway-level and street-level data for the world. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the World Street Map.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:15.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-69.96,180,83.46",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/f81bc478e12c4f1691d0d7ab6361f5a6,,,,,f81bc478e12c4f1691d0d7ab6361f5a6,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Navigation,"This map provides a detailed basemap for the world featuring a custom navigation map style. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the World Navigation Map.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:14.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-161.6968,-72.6727,161.6968,80.6945",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/61ffcf610f314933916e4b2c0e477b29,,,,,61ffcf610f314933916e4b2c0e477b29,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Streets (Night),"This map provides a detailed basemap for the world featuring a custom night time street map style. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the World Street Map (Night).",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:15.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-69.96,180,83.46",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/1c8ddaba2ee9498cb0025554351e5475,,,,,1c8ddaba2ee9498cb0025554351e5475,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Imagery Hybrid,"This map features a detailed reference layer for the world that is overlaid on imagery. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the Hybrid Reference Layer and World Imagery.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2017-06-27T22:01:14.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-89.9962,180,89.9962",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/2ea9c9cf54cb494187b03a5057d1a830,,,,,2ea9c9cf54cb494187b03a5057d1a830,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Community Map,"This web map provides provides a customized world basemap that is uniquely symbolized. It is optimized to display special areas of interest (AOIs) that have been created and edited byCommunity Maps contributors. These special areas of interest include landscaping features such as grass, trees, and rock and sports amenities like tennis courts, football and baseball field lines, and more. This vector tile layer is built using the same data sources used for theWorld Topographic Mapand other Esri basemaps. Alignment of boundaries is a presentation of the feature provided by our data vendors and does not imply endorsement by Esri or any governing authority.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use theCommunitytile layer referenced in this map.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.Fonts available for use in the style resource directory are under theOFL, Open Font License.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,esri_basemap|creative|Cindy Prostak|general availability|wma|v2|basemaps|vector|basemap,2019-02-16T01:09:00.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-80,180,80",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/e64f06e8d912465a96f9ea9bfdb72676,,,,,e64f06e8d912465a96f9ea9bfdb72676,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Mid-Century Map,"This web map provides a customized vector layer for the world symbolized with a unique ""Mid-Century"" styled map. It takes its inspiration from the art and advertising of the 1950's with unique fonts. The symbols for cities and capitals have an atomic slant to them. This vector tile layer is built using the same data sources used for theWorld Topographic Mapand other Esri basemaps. The comprehensive map data includes highways, major roads, minor roads, railways, water features, cities, parks, landmarks, building footprints, and administrative boundaries. Alignment of boundaries is a presentation of the feature provided by our data vendors and does not imply endorsement by Esri or any governing authority.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.Customize this MapBecause this map contains a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,vector|web map|sample|esri_basemap|basemap|Cindy Prostak|creative,2017-01-03T03:13:09.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-129.259,-44.6904,130.3699,67.3535",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/867895a71a1840399476fc717e76bb43,,,,,867895a71a1840399476fc717e76bb43,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Newspaper Map,"This web map provides a customized vector basemap for the world symbolized with a unique ""newspaper"" styled map. It has a black & white appearance with select features highlighted in red. Many of the area fills have halftone patterns commonly found in traditional newspaper printing. This vector tile layer is built using the same data sources used for theWorld Topographic Mapand other Esri basemaps. The comprehensive map data includes highways, major roads, minor roads, railways, water features, cities, parks, landmarks, building footprints, and administrative boundaries.Use this MapThis map is designed to be used as a basemap for overlaying other layers of information or as a stand-alone reference map. You can add layers to this web map and save as your own map. If you like, you can add this web map to a custom basemap gallery for others in your organization to use in creating web maps. If you would like to add this map as a layer in other maps you are creating, you may use the tile layer item referenced in this map.Customize this MapBecause this map includes a vector tile layer, you can customize the map to change its content and symbology. You are able to turn on and off layers, change symbols for layers, switch to alternate local language (in some areas), and refine the treatment of disputed boundaries. For details on how to customize this map, please refer to theEsri Vector Basemap Reference Document (v2)and vector basemap articles on theArcGIS Online Blog.This map was designed and created by Cindy Prostak.",English,Esri,"Crawford County, Pennsylvania",,,vector|esri_basemap|custom|style|unique|sample|newspaper|Cindy Prostak|creative,2016-06-27T15:40:20.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-132.5708,-46.5126,127.0581,66.3292",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/75a3ce8990674a5ebd5b9ab66bdab893,,,,,75a3ce8990674a5ebd5b9ab66bdab893,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,OpenStreetMap,"This web map features a vector basemap of OpenStreetMap (OSM) data created and hosted by Esri. Esri has produced this vector tile basemap in ArcGIS Pro from a live replica of OSM data, hosted by Esri, that was rendered using OSM cartography. The vector tiles will be updated every few weeks with the latest OSM data. This vector basemap is freely available for any user or developer to build into their web map or web mapping apps.OpenStreetMap (OSM) is an open collaborative project to create a free editable map of the world. OpenStreetMap is built by a community of mappers that contribute and maintain data about roads, trails, cafés, railway stations, and much more, all over the world. The resulting free map can be viewed and downloaded from the OpenStreetMap site: www.OpenStreetMap.org.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector|world|OSM|OpenStreetMap|international|roads|streets|wiki,2019-03-19T22:10:43.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-89.9962,180,89.9962",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/c29cfb7875fc4b97b58ba6987c460862,,,,,c29cfb7875fc4b97b58ba6987c460862,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,Oceans,"This map is designed to be used as a basemap by marine GIS professionals and as a reference map by anyone interested in ocean data. The map is intended to support the ArcGIS Online basemap gallery. For more details on the map, please visit the Ocean Basemap.",English,esri_en,"Crawford County, Pennsylvania",,,basemap|vector,2019-03-19T22:10:43.000Z,,,,"Crawford County, Pennsylvania|Pennsylvania","-180,-89.9962,180,89.9962",,,,http://share-open-data-crawfordcountypa.opendata.arcgis.com/datasets/620875bf8a1945e799cf8bd5f25784d7,,,,,620875bf8a1945e799cf8bd5f25784d7,,Penn State,08b-42039,08b-42039,active,ArcGIS Hub,,Public,,FALSE,
,MDCOVID19 ProbableDeathsByGenderDistribution,"SummaryThe cumulative number of probable COVID-19 deaths among Maryland residents by gender: Female; Male; Unknown.DescriptionThe MD COVID-19 - Probable Deaths by Gender Distribution data layer is a collection of the statewide confirmed and probable COVID-19 related deaths that have been reported each day by the Vital Statistics Administration by gender. A death is classified as probable if the person's death certificate notes COVID-19 to be a probable, suspect or presumed cause or condition. Probable deaths are not yet been confirmed by a laboratory test. Some data on deaths may be unavailable due to the time lag between the death, typically reported by a hospital or other facility, and the submission of the complete death certificate. Confirmed deaths are available from the MD COVID-19 - Confirmed Deaths by Gender Distribution data layer.COVID-19 is a disease caused by a respiratory virus first identified in Wuhan, Hubei Province, China in December 2019. COVID-19 is a new virus that hasn't caused illness in humans before. Worldwide, COVID-19 has resulted in thousands of infections, causing illness and in some cases death. Cases have spread to countries throughout the world, with more cases reported daily. The Maryland Department of Health reports daily on COVID-19 cases by county.",English,ArcGIS Online for Maryland,State of Maryland,,,COVID-19|Coronavirus|COVID|Disease|2019|Outbreak|Maryland|MD|Maryland Department of Health|Department of Health|Health|MDH|Document|csv|Download|Share|Open Data|Data|MD iMAP|Probable|Deaths|Female|Male,2020-05-22T03:08:40.000Z,,,,Maryland,"-79.5079,37.8565,-75.0197,39.7441",,,,http://data.imap.maryland.gov/datasets/1f4b0ea340b64158b56faf3ee7db8cb8,,,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MDCOVID19_ProbableDeathsByGenderDistribution/FeatureServer,,1f4b0ea340b64158b56faf3ee7db8cb8,,Maryland,04a-01,04a-01,active,ArcGIS Hub,,Public,,FALSE,
,Montgomery County Airports,"This layer shows Airports in Montgomery County, Pennsylvania.",English,Montgomery County,"Montgomery County, Pennsylvania",Geospatial data,,Community|Planning,2020-06-22T18:59:22.000Z,,,,"Montgomery County, Pennsylvania|Pennsylvania","-75.6746,40.1376,-75.2551,40.4001",Dataset|Service,Vector,Shapefile,http://data-montcopa.opendata.arcgis.com/datasets/467b73e81bf44a4897bf1c63c85c1480_0,"http://data-montcopa.opendata.arcgis.com/datasets/467b73e81bf44a4897bf1c63c85c1480_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services1.arcgis.com/kOChldNuKsox8qZD/arcgis/rest/services/Montgomery_County_Airports/FeatureServer/0,,467b73e81bf44a4897bf1c63c85c1480_0,,Penn State,08b-42091,08b-42091,active,ArcGIS Hub,,Public,,FALSE,
,Parking Violations Issued in May 2020,"Parking citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, the District Department of Transportation's (DDOT)traffic control officers write parking violations to prevent congestion through enforcement and control at intersections.Parking violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT's SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",English,"Office of Information and Technology Innovation, District Department of Transportation, GIS Data Manager","Washington, District of Columbia",,,D.C.|dc|DDOT|District|District of Columbia|dmv|DPW|enforcement|MPD|parking|Parking Enforcement|parking violation|police|transportation|violations|Vision Zero|VZ|Washington|washington dc,2020-06-15T20:11:59.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1196,38.7915,-76.909,38.9959",,,,http://opendata.dc.gov/datasets/8d5171cde93e4b19a3dc69ce130d18d0_4,,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Parking_2020/MapServer/4,,,8d5171cde93e4b19a3dc69ce130d18d0_4,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,Moving Violations Issued in May 2020,"Moving citation locations in the District of Columbia. The Vision Zero data contained in this layer pertain to moving violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority. For example, DC's enforcement camera program cites speeders, blocking the box, and other moving offenses.. Moving violation locations are summarized ticket counts based on time of day, week of year, year, and category of violation.Data was originally downloaded from the District Department of Motor Vehicle's eTIMS meter work order management system. Data was exported into DDOT's SQL server, where the Office of the Chief Technology Officer (OCTO) geocoded citation data to the street segment level. Data was then visualized using the street segment centroid coordinates.",English,"Office of Information and Technology Innovation, District Department of Transportation, GIS Data Manager","Washington, District of Columbia",,,D.C.|dc|DDOT|District|District of Columbia|dmv|DPW|enforcement|enforcement|moving|moving violations|MPD|odtest|police|ppsa|transportation|violations|Vision Zero|vision zero|VZ|Washington|washington dc,2020-06-15T20:05:59.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1196,38.7915,-76.909,38.9959",,,,http://opendata.dc.gov/datasets/f7159e8119cd4d3ca73b4663f76ae838_4,,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Violations_Moving_2020/MapServer/4,,,f7159e8119cd4d3ca73b4663f76ae838_4,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,Health Statistics DC Reopening Tracker,"The District of Columbia is closely monitoring key public health signs to guide reopening the District in a way that is safe, measured, data-driven, and sustainable. The timing of when to remove or reinstate social (physical) distancing and other policies to slow the spread of COVID-19 will be determined in part by the reopening metrics shown here. All metrics are subject to change based on evolving outbreak and data considerations. Visithttps://coronavirus.dc.gov/page/coronavirus-datafor more information.",English,"City of Washington, DC","Washington, District of Columbia",,,reopen|dc|health statistics|doh|dc health|tracking|phases|covid-19|coronavirus|epidemiology|washington dc|district of columbia,2020-06-30T21:19:46.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.2258,38.7867,-76.8125,39.0009",,,,http://opendata.dc.gov/datasets/5ea67b27c33b48fa87e5f8249810ca58,,,,,5ea67b27c33b48fa87e5f8249810ca58,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
