Title,Spatial Coverage,Alternative Title,Description,Language,Creator,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Resource Type,Format,Information,Download,ID,Identifier,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,License,Access Rights,File Size,Bounding Box
Populated Places [Ohio],Ohio,HOTOSM United States (Ohio) Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:place IN ('isolated_dwelling','town','village','hamlet','city')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|populated places - settlements,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_ohio_populated_places,https://data.humdata.orghttps://export.hotosm.org/downloads/fe69b8f2-9e16-43b8-a3a4-3faa2204725a/hotosm_usa_ohio_populated_places_points_shp.zip,6d0b01e8-9958-4fb2-8721-45345c8477c1,https://data.humdata.org/dataset/hotosm_usa_ohio_populated_places,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-84.8203361,38.4031419,-80.518979,42.3232365"
Buildings [Ohio],Ohio,HOTOSM United States (Ohio) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_ohio_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/fe69b8f2-9e16-43b8-a3a4-3faa2204725a/hotosm_usa_ohio_buildings_polygons_shp.zip,6cab4e34-277d-42b3-8fb3-039dade13f03,https://data.humdata.org/dataset/hotosm_usa_ohio_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-84.8203361,38.4031419,-80.518979,42.3232365"
Airports [Ohio],Ohio,HOTOSM United States (Ohio) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_ohio_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/fe69b8f2-9e16-43b8-a3a4-3faa2204725a/hotosm_usa_ohio_airports_points_shp.zip,1792a607-92ff-45cf-bd7a-f42d498148da,https://data.humdata.org/dataset/hotosm_usa_ohio_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-84.8203361,38.4031419,-80.518979,42.3232365"
Waterways [Ohio],Ohio,HOTOSM United States (Ohio) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-06-29,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_ohio_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/fe69b8f2-9e16-43b8-a3a4-3faa2204725a/hotosm_usa_ohio_waterways_lines_shp.zip,a8938b81-77aa-481b-9313-690ac33b10dc,https://data.humdata.org/dataset/hotosm_usa_ohio_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-84.8203361,38.4031419,-80.518979,42.3232365"
Financial Services [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,financial institutions|geodata|services,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_financial_services,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_financial_services_points_shp.zip,70e7ff5d-4fdd-4c61-8469-05b52b805842,https://data.humdata.org/dataset/hotosm_usa_oklahoma_financial_services,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Roads [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:highway IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|roads|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_roads,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_roads_lines_shp.zip,a145410d-505c-4749-a764-12b9f9e33672,https://data.humdata.org/dataset/hotosm_usa_oklahoma_roads,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Railways [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:railway IN ('rail','station')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|railways|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_railways,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_railways_lines_shp.zip,fd4e9b26-e756-4339-b54c-af76033f3e82,https://data.humdata.org/dataset/hotosm_usa_oklahoma_railways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Populated Places [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:place IN ('isolated_dwelling','town','village','hamlet','city')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|populated places - settlements,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_populated_places,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_populated_places_points_shp.zip,7ec69261-c6f1-411b-a352-1632086b2c91,https://data.humdata.org/dataset/hotosm_usa_oklahoma_populated_places,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Buildings [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_buildings_polygons_shp.zip,23d654a5-7f6e-46c4-a9a2-e560387341ca,https://data.humdata.org/dataset/hotosm_usa_oklahoma_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Points of Interest [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_points_of_interest_points_shp.zip,e5bd9e8a-199d-4a8a-9d39-2c5ebe2c879c,https://data.humdata.org/dataset/hotosm_usa_oklahoma_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Health Facilities [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_health_facilities_points_shp.zip,0d0dffd9-612a-428e-88d1-43bd366d80bf,https://data.humdata.org/dataset/hotosm_usa_oklahoma_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Education Facilities [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,education|education facilities - schools|geodata,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_education_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_education_facilities_points_shp.zip,d7c13fba-f1b6-4c69-9304-aec57b8cd419,https://data.humdata.org/dataset/hotosm_usa_oklahoma_education_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Waterways [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_waterways_lines_shp.zip,d583c25e-8126-4713-b777-54493546d663,https://data.humdata.org/dataset/hotosm_usa_oklahoma_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Airports [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_airports_points_shp.zip,8de5c23a-f943-4803-ba53-cc304b9eb8a6,https://data.humdata.org/dataset/hotosm_usa_oklahoma_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Sea Ports [Oklahoma],Oklahoma,HOTOSM United States (Oklahoma) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_oklahoma_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/701db30f-005e-4c06-9c36-34ee1bc16b8f/hotosm_usa_oklahoma_sea_ports_points_shp.zip,9f908237-a276-4079-abf6-62c8af0ea024,https://data.humdata.org/dataset/hotosm_usa_oklahoma_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-103.0024413,33.6191533,-94.4312145,37.0022994"
Populated Places [Oregon],Oregon,HOTOSM United States (Oregon) Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:place IN ('isolated_dwelling','town','village','hamlet','city')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|populated places - settlements,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_populated_places,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_populated_places_points_shp.zip,b0f4804a-d390-4381-8759-558a9d3383d0,https://data.humdata.org/dataset/hotosm_usa_orgeon_populated_places,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Waterways [Oregon],Oregon,HOTOSM United States (Oregon) Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|rivers|water bodies - hydrography|waterbodies,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_waterways,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_waterways_lines_shp.zip,f53a76c3-c73a-46ff-8a0e-322defc449d0,https://data.humdata.org/dataset/hotosm_usa_orgeon_waterways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Railways [Oregon],Oregon,HOTOSM United States (Oregon) Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:railway IN ('rail','station')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|railways|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_railways,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_railways_lines_shp.zip,5838251b-25f8-454d-881d-4df2aea58fe2,https://data.humdata.org/dataset/hotosm_usa_orgeon_railways,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Roads [Oregon],Oregon,HOTOSM United States (Oregon) Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:highway IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|roads|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_roads,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_roads_lines_shp.zip,e6caf34f-65a6-4223-aaba-a34d80f8fe4f,https://data.humdata.org/dataset/hotosm_usa_orgeon_roads,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Buildings [Oregon],Oregon,HOTOSM United States (Oregon) Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:building IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,buildings|geodata,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_buildings,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_buildings_polygons_shp.zip,53b64bdb-e511-4650-b22d-89086791560d,https://data.humdata.org/dataset/hotosm_usa_orgeon_buildings,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Airports [Oregon],Oregon,HOTOSM United States (Oregon) Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_airports,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_airports_points_shp.zip,127d1899-04b0-4b6f-a6d1-ed61f5b7dd18,https://data.humdata.org/dataset/hotosm_usa_orgeon_airports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Sea Ports [Oregon],Oregon,HOTOSM United States (Oregon) Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_sea_ports,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_sea_ports_points_shp.zip,ccc4909a-32b4-4df3-a15d-92bbbbaf3a8c,https://data.humdata.org/dataset/hotosm_usa_orgeon_sea_ports,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Points of Interest [Oregon],Oregon,HOTOSM United States (Oregon) Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULLFeatures may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,facilities and infrastructure|geodata|points of interest - poi,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_points_of_interest,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_points_of_interest_points_shp.zip,5964c8fd-3971-4358-99bb-790a65bf76d4,https://data.humdata.org/dataset/hotosm_usa_orgeon_points_of_interest,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Health Facilities [Oregon],Oregon,HOTOSM United States (Oregon) Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,geodata|health|health facilities,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_health_facilities,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_health_facilities_points_shp.zip,b7b4c3ea-405a-4eb3-bad7-5b578a51c730,https://data.humdata.org/dataset/hotosm_usa_orgeon_health_facilities,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
Financial Services [Oregon],Oregon,HOTOSM United States (Oregon) Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.This theme includes all OpenStreetMap features in this area matching:amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')Features may have these attributes:This dataset is one of many OpenStreetMap exports on HDX.
See the Humanitarian OpenStreetMap Team website for more information.; Updated Every week",eng,Humanitarian OpenStreetMap Team (HOT),Datasets,,financial institutions|geodata|services,2020-07-06,Continuously updated resource,,Vector data,Shapefile,https://data.humdata.org/dataset/hotosm_usa_orgeon_financial_services,https://data.humdata.orghttps://export.hotosm.org/downloads/385f2a03-07b9-4b39-aae0-7699dedee14f/hotosm_usa_orgeon_financial_services_points_shp.zip,3d5f1a8f-2304-4a8d-8223-4d3a952a1e5c,https://data.humdata.org/dataset/hotosm_usa_orgeon_financial_services,Humanitarian Data Exchange,99-1400,99-1400,b0153110-e455-4ced-9114-9b13250a7093,HTML,2023-02-24,,Open Database License (ODC-ODbL),Public,,"-124.703541,41.991794,-116.4631465,46.2928325"
